gamma,eta,e_gauge,delta_e,kappa,flux_metric
0.05,0.5,0.05,0.2,0.0,0.562745
0.05,0.5,0.05,0.2,0.1,0.146751
0.05,0.5,0.05,0.2,0.2,-0.187072
0.05,0.5,0.05,0.3,0.0,0.021579
0.05,0.5,0.05,0.3,0.1,0.097001
0.05,0.5,0.05,0.3,0.2,-0.160953
0.05,0.5,0.05,0.4,0.0,0.181682
0.05,0.5,0.05,0.4,0.1,0.174589
0.05,0.5,0.05,0.4,0.2,0.355525
0.05,0.5,0.1,0.2,0.0,0.001425
0.05,0.5,0.1,0.2,0.1,0.008940
0.05,0.5,0.1,0.2,0.2,0.223136
0.05,0.5,0.1,0.3,0.0,0.110201
0.05,0.5,0.1,0.3,0.1,-0.290531
0.05,0.5,0.1,0.3,0.2,-0.289145
0.05,0.5,0.1,0.4,0.0,0.135570
0.05,0.5,0.1,0.4,0.1,0.149036
0.05,0.5,0.1,0.4,0.2,0.160086
0.05,0.5,0.15,0.2,0.0,-0.355783
0.05,0.5,0.15,0.2,0.1,0.489930
0.05,0.5,0.15,0.2,0.2,-0.489522
0.05,0.5,0.15,0.3,0.0,0.185330
0.05,0.5,0.15,0.3,0.1,-0.202683
0.05,0.5,0.15,0.3,0.2,-0.386860
0.05,0.5,0.15,0.4,0.0,-0.187258
0.05,0.5,0.15,0.4,0.1,-0.030164
0.05,0.5,0.15,0.4,0.2,-0.485995
0.05,1.0,0.05,0.2,0.0,nan
0.05,1.0,0.05,0.2,0.1,nan
0.05,1.0,0.05,0.2,0.2,nan
0.05,1.0,0.05,0.3,0.0,nan
0.05,1.0,0.05,0.3,0.1,nan
0.05,1.0,0.05,0.3,0.2,nan
0.05,1.0,0.05,0.4,0.0,nan
0.05,1.0,0.05,0.4,0.1,nan
0.05,1.0,0.05,0.4,0.2,nan
0.05,1.0,0.1,0.2,0.0,nan
0.05,1.0,0.1,0.2,0.1,nan
0.05,1.0,0.1,0.2,0.2,nan
0.05,1.0,0.1,0.3,0.0,nan
0.05,1.0,0.1,0.3,0.1,nan
0.05,1.0,0.1,0.3,0.2,nan
0.05,1.0,0.1,0.4,0.0,nan
0.05,1.0,0.1,0.4,0.1,nan
0.05,1.0,0.1,0.4,0.2,nan
0.05,1.0,0.15,0.2,0.0,nan
0.05,1.0,0.15,0.2,0.1,nan
0.05,1.0,0.15,0.2,0.2,nan
0.05,1.0,0.15,0.3,0.0,nan
0.05,1.0,0.15,0.3,0.1,nan
0.05,1.0,0.15,0.3,0.2,nan
0.05,1.0,0.15,0.4,0.0,nan
0.05,1.0,0.15,0.4,0.1,nan
0.05,1.0,0.15,0.4,0.2,nan
0.05,2.0,0.05,0.2,0.0,nan
0.05,2.0,0.05,0.2,0.1,nan
0.05,2.0,0.05,0.2,0.2,nan
0.05,2.0,0.05,0.3,0.0,nan
0.05,2.0,0.05,0.3,0.1,nan
0.05,2.0,0.05,0.3,0.2,nan
0.05,2.0,0.05,0.4,0.0,nan
0.05,2.0,0.05,0.4,0.1,nan
0.05,2.0,0.05,0.4,0.2,nan
0.05,2.0,0.1,0.2,0.0,nan
0.05,2.0,0.1,0.2,0.1,nan
0.05,2.0,0.1,0.2,0.2,nan
0.05,2.0,0.1,0.3,0.0,nan
0.05,2.0,0.1,0.3,0.1,nan
